,Source,Text,Date,Compound,Positive,Neutral,Negative,Counter
0,@CNN,"NBC News corrects explosive story on Michael Cohen
https://t.co/qFmv4FR9rO",Thu May 03 22:03:05 +0000 2018,0.0,0.0,1.0,0.0,1
1,@CNN,Kim Kardashian West wants this woman released from prison. Hear Alice Marie Johnson's own words on why… https://t.co/JU1Bmfd4RZ,Thu May 03 21:47:29 +0000 2018,-0.5106,0.0,0.837,0.163,2
2,@CNN,"Hosts of a Detroit radio station say they'll no longer play Kanye West's songs, saying they've had enough https://t.co/jPU9iRTnoU",Thu May 03 21:09:07 +0000 2018,0.0516,0.117,0.777,0.107,3
3,@CNN,Twitter is recommending users change their passwords after it discovered a bug that saved user passwords on an inte… https://t.co/IXScrWL5Xt,Thu May 03 20:51:05 +0000 2018,0.4215,0.135,0.865,0.0,4
4,@CNN,President Trump stays silent on adult film star payment storm during event for National Day of Prayer https://t.co/kJEyCmmBdV,Thu May 03 20:40:31 +0000 2018,0.0,0.0,1.0,0.0,5
5,@CNN,"White House press secretary Sarah Sanders says she can't ""verify the validity"" of an NBC report that Michael Cohen… https://t.co/u0UmSk8EUM",Thu May 03 20:29:30 +0000 2018,0.0,0.0,1.0,0.0,6
6,@CNN,Video shows how close an Air Canada flight came to mistakenly landing on a crowded taxiway at San Francisco Interna… https://t.co/qk7iWg3pfB,Thu May 03 20:15:19 +0000 2018,-0.296,0.0,0.896,0.104,7
7,@CNN,BREAKING: Law enforcement sources say they are responding to a shooting at Nashville's Opry Mills Mall… https://t.co/6KHHfl8lDs,Thu May 03 20:06:04 +0000 2018,0.0,0.0,1.0,0.0,8
8,@CNN,These are all the weapons deputies found in the home of a high school student they said had a long hit list… https://t.co/TNyRHOEOYN,Thu May 03 20:01:05 +0000 2018,-0.4404,0.0,0.873,0.127,9
9,@CNN,"Rudy Giuliani bristles at the idea of the special counsel targeting ""a fine woman like"" Ivanka Trump… https://t.co/pfJyxJzR0s",Thu May 03 19:52:09 +0000 2018,0.7184,0.318,0.682,0.0,10
10,@CNN,"Sarah Sanders defends President Trump's shifting story on the circumstances around a $130,000 hush money payment ma… https://t.co/WP8QfDMikx",Thu May 03 19:46:01 +0000 2018,0.0,0.0,1.0,0.0,11
11,@CNN,"They were the only all-female, all-black team in a NASA science competition. Then came the trolls.… https://t.co/nfyEdhaPm7",Thu May 03 19:40:07 +0000 2018,0.0,0.0,1.0,0.0,12
12,@CNN,27 US service members have been killed in noncombat air crashes this year https://t.co/vMLSjhMC9R,Thu May 03 19:31:05 +0000 2018,-0.6705,0.0,0.743,0.257,13
13,@CNN,Rudy Giuliani's other big admission may be even worse | Analysis by Chris Cillizza https://t.co/pxJJnBYmOm https://t.co/CWWnPUiM39,Thu May 03 19:22:02 +0000 2018,-0.4767,0.0,0.819,0.181,14
14,@CNN,"Hundreds of small earthquakes in Hawaii are shaking the eastern side of Big Island, prompting concerns that Kilauea… https://t.co/NaiPg16fG6",Thu May 03 19:10:03 +0000 2018,-0.1779,0.0,0.914,0.086,15
15,@CNN,"Did President Trump lie about the Stormy Daniels payment?

GOP Rep. Charles Dent: “Well, it’s clear that somebody w… https://t.co/1o2hajB6vD",Thu May 03 19:01:19 +0000 2018,0.3818,0.12,0.88,0.0,16
16,@CNN,"RT @CNNPolitics: Sanders on whether the White House was in the dark about the Stormy Daniels hush payment: ""I've given the best information…",Thu May 03 18:55:41 +0000 2018,0.6369,0.16,0.84,0.0,17
17,@CNN,"RT @CNNPolitics: White House press secretary Sarah Sanders on whether the US will remain in the Iran nuclear deal: ""We don't have any annou…",Thu May 03 18:40:25 +0000 2018,0.0,0.0,1.0,0.0,18
18,@CNN,"Sarah Sanders is conducting the White House press briefing. 

- Live updates: https://t.co/DUQ3LOSV1C
- Watch live:… https://t.co/64zRi4SLqg",Thu May 03 18:38:50 +0000 2018,0.0,0.0,1.0,0.0,19
19,@CNN,"The Academy of Motion Pictures Arts and Sciences, the group behind the Academy Awards, has voted to expel actor Bil… https://t.co/A3SJgldpqn",Thu May 03 18:37:04 +0000 2018,0.0258,0.12,0.763,0.116,20
20,@CNN,This is what a Sikh child faces in America | via @CNNopinion https://t.co/dTar9FluCH https://t.co/jMrUN0U2BM,Thu May 03 18:30:05 +0000 2018,0.0,0.0,1.0,0.0,21
21,@CNN,"George H.W. Bush says he has ""not taken up residence"" at the Houston hospital he was admitted to late last month. ""… https://t.co/62Nlse6qYA",Thu May 03 18:20:06 +0000 2018,0.1027,0.06,0.94,0.0,22
22,@CNN,"Carbon dioxide (CO2), the No. 1 greenhouse gas leading to man-made global warming, has reached the highest concentr… https://t.co/8eB1EwrOiE",Thu May 03 18:10:06 +0000 2018,-0.0516,0.149,0.743,0.109,23
23,@CNN,4 words from Rudy Giuliani unwound months of White House misdirection about Stormy Daniels | Analysis by… https://t.co/wO1WJOcloE,Thu May 03 18:00:07 +0000 2018,0.0,0.0,1.0,0.0,24
24,@CNN,"After a mob reportedly beat a couple for being affectionate, protesters gathered at the site to offer free hugs… https://t.co/yVP5gYeGM8",Thu May 03 17:50:07 +0000 2018,0.6486,0.268,0.649,0.082,25
25,@CNN,"At least 100 people have died and nearly 260,000 have been displaced by flooding in Kenya this month, the Kenyan Re… https://t.co/tNIX7TLyF4",Thu May 03 17:40:13 +0000 2018,-0.5574,0.0,0.854,0.146,26
26,@CNN,"The Environmental Protection Agency's top public affairs official Liz Bowman is leaving the agency, which has come… https://t.co/OGGEYppUyK",Thu May 03 17:30:04 +0000 2018,0.2023,0.096,0.904,0.0,27
27,@CNN,"""Just a group of people devoted to the rule of law and the truth"": Former FBI Director James Comey defends the bure… https://t.co/JGUP83maGX",Thu May 03 17:20:05 +0000 2018,0.4019,0.114,0.886,0.0,28
28,@CNN,The Giuliani bomb has hit the White House | Analysis by @CillizzaCNN https://t.co/uKIOEWYh9q https://t.co/37ls4tK980,Thu May 03 17:10:08 +0000 2018,-0.4939,0.0,0.789,0.211,29
29,@CNN,"The release of three US nationals currently detained in North Korea is ""imminent,"" according to an official with kn… https://t.co/XaDn8h2vh7",Thu May 03 17:00:20 +0000 2018,-0.4019,0.0,0.876,0.124,30
30,@CNN,These are all the weapons deputies found in the home of a high school student they said had a long hit list… https://t.co/6opRfkNSLq,Thu May 03 16:50:09 +0000 2018,-0.4404,0.0,0.873,0.127,31
31,@CNN,She joined the Boy Scouts and sparked a sibling rivalry with her brother https://t.co/y3CvHlMvdv https://t.co/RGxZy8ioNt,Thu May 03 16:41:11 +0000 2018,0.0,0.0,1.0,0.0,32
32,@CNN,"One of the horses in Saturday's Kentucky Derby is named Audible. At 7-1 odds, he's even one of the favorites.

And… https://t.co/lpEQrgNvaM",Thu May 03 16:30:18 +0000 2018,0.4215,0.118,0.882,0.0,33
33,@CNN,"The torrent of statements made Wednesday night by Rudy Giuliani caught many White House officials off guard, highli… https://t.co/wlFqqJ64GG",Thu May 03 16:20:16 +0000 2018,0.0,0.0,1.0,0.0,34
34,@CNN,$3 gas is coming to a station near you https://t.co/uGU4nC96gq https://t.co/e84Lu3eUcr,Thu May 03 16:11:58 +0000 2018,0.0,0.0,1.0,0.0,35
35,@CNN,"Allegations of sexual harassment against Charlie Rose were far more numerous than previously reported, according to… https://t.co/5ladLtSoSj",Thu May 03 16:02:20 +0000 2018,-0.5423,0.0,0.821,0.179,36
36,@CNN,President Trump pays tribute to the late Rev. Billy Graham at National Day of Prayer event in the Rose Garden: “Rev… https://t.co/7gXGXuYRb5,Thu May 03 15:49:13 +0000 2018,0.0,0.0,1.0,0.0,37
37,@CNN,"President Trump is speaking at the traditional National Day of Prayer event at the White House

Watch:… https://t.co/SG7WPfEfZZ",Thu May 03 15:40:35 +0000 2018,0.0,0.0,1.0,0.0,38
38,@CNN,"A food processing company that supplies meat to Kroger is recalling more than 35,000 pounds of ground beef because… https://t.co/w4qINta4LR",Thu May 03 15:37:04 +0000 2018,0.0,0.0,1.0,0.0,39
39,@CNN,"Monica Lewinsky calls out Sen. Marco Rubio for criticizing an article written by an intern: ""blaming the intern is… https://t.co/72kyPMmWhC",Thu May 03 15:26:27 +0000 2018,-0.6908,0.0,0.759,0.241,40
40,@CNN,“I guess at some point you have to ask the question: ‘How does Sarah Huckabee Sanders go to work every day if she w… https://t.co/cdSNZFMQmd,Thu May 03 15:14:46 +0000 2018,0.0,0.0,1.0,0.0,41
41,@CNN,"Did President Trump lie about the Stormy Daniels payment?

GOP Rep. Charles Dent: “Well, it’s clear that somebody w… https://t.co/3VwN0yDRdG",Thu May 03 15:11:49 +0000 2018,0.3818,0.12,0.88,0.0,42
42,@CNN,Trump has changed his story about Stormy Daniels. The President says Michael Cohen was paid via a retainer after Ru… https://t.co/KTv5gWc9bO,Thu May 03 15:03:14 +0000 2018,0.0,0.0,1.0,0.0,43
43,@CNN,Video shows how close an Air Canada flight came to mistakenly landing on a crowded taxiway at San Francisco Interna… https://t.co/m6O6jpXeT9,Thu May 03 14:54:34 +0000 2018,-0.296,0.0,0.896,0.104,44
44,@CNN,"Hundreds of small earthquakes in Hawaii are shaking the eastern side of Big Island, prompting concerns that Kilauea… https://t.co/ySW4ulZ1jT",Thu May 03 14:38:50 +0000 2018,-0.1779,0.0,0.914,0.086,45
45,@CNN,"After nearly weeklong teacher walkout, Arizona governor signs education bill that includes pay raises for teachers… https://t.co/qCHSuCJYGi",Thu May 03 14:21:04 +0000 2018,-0.4019,0.0,0.802,0.198,46
46,@CNN,"Stormy Daniels' lawyer says he was ""stunned"" after hearing Rudy Giuliani reveal that President Trump had reimbursed… https://t.co/GJ0UYb7O6o",Thu May 03 14:10:08 +0000 2018,0.0,0.0,1.0,0.0,47
47,@CNN,Donald Trump and Robert Mueller look ready to go to war | Analysis by @StCollinson https://t.co/zKh0am0Nrp https://t.co/Krdg54WPNe,Thu May 03 14:03:07 +0000 2018,-0.34,0.123,0.686,0.191,48
48,@CNN,These are all the weapons deputies found in the home of a high school student they said had a long hit list… https://t.co/RHa8yAm6sN,Thu May 03 13:51:41 +0000 2018,-0.4404,0.0,0.873,0.127,49
49,@CNN,Swedish meatballs are actually Turkish https://t.co/OD1LL6p7VO https://t.co/sldZFupvTw,Thu May 03 13:40:05 +0000 2018,0.0,0.0,1.0,0.0,50
50,@CNN,Adidas is standing behind Kanye West after the rapper described slavery as a choice https://t.co/szjeHiJ87K https://t.co/M7DMu7W2ve,Thu May 03 13:30:10 +0000 2018,-0.7003,0.0,0.745,0.255,51
51,@CNN,Are you at risk for cancer? This startup CEO wants to help you find out https://t.co/t0q1P8PWBI https://t.co/658KRzzgl5,Thu May 03 13:20:50 +0000 2018,-0.5859,0.116,0.603,0.28,52
52,@CNN,"The nine crew members killed in yesterday's military plane crash in Savannah, Georgia, were all airmen from the Pue… https://t.co/Ddy8kEppgq",Thu May 03 13:17:35 +0000 2018,-0.802,0.0,0.714,0.286,53
53,@CNN,More than 100 people killed after strong winds and lightning strikes during a powerful dust storm in northwestern I… https://t.co/k4E6CmtGPE,Thu May 03 13:06:14 +0000 2018,-0.2263,0.217,0.534,0.249,54
54,@CNN,Up to 270 women may have died after UK breast cancer screening failures https://t.co/h9PB7frpeH https://t.co/S8MFxCJzNp,Thu May 03 12:59:56 +0000 2018,-0.9001,0.0,0.522,0.478,55
55,@CNN,$3 gas is coming to a station near you https://t.co/HwGgswz5ct https://t.co/0VIbSleYwr,Thu May 03 12:40:04 +0000 2018,0.0,0.0,1.0,0.0,56
56,@CNN,"Three Americans held in a North Korean prison are set to be released, former New York City Mayor Rudy Giuliani says… https://t.co/mte9tbQHxH",Thu May 03 12:40:03 +0000 2018,-0.5106,0.0,0.858,0.142,57
57,@CNN,Fierce winds and lightning strikes created by a powerful dust storm have killed around 100 people in northwestern I… https://t.co/Ckn7AsZBHn,Thu May 03 12:30:04 +0000 2018,-0.4939,0.179,0.56,0.261,58
58,@CNN,"RT @CNNPolitics: Stormy Daniels' attorney Michael Avenatti says he was ""stunned"" by Rudy Giuliani's admission that President Trump reiumbur…",Thu May 03 12:28:46 +0000 2018,0.0,0.0,1.0,0.0,59
59,@CNN,"Hundreds of small earthquakes in Hawaii are shaking the eastern side of Big Island, prompting concerns that Kilauea… https://t.co/HPkdU9x3XZ",Thu May 03 12:20:05 +0000 2018,-0.1779,0.0,0.914,0.086,60
60,@CNN,Mitch McConnell is becoming the GOP's Nancy Pelosi in midterm races https://t.co/p2R3PZUEXJ https://t.co/xYxcuMu1LD,Thu May 03 12:10:04 +0000 2018,0.0,0.0,1.0,0.0,61
61,@CNN,"The release of three US nationals currently detained in North Korea is ""imminent,"" according to an official with kn… https://t.co/yjcWaVyfrj",Thu May 03 12:05:00 +0000 2018,-0.4019,0.0,0.876,0.124,62
62,@CNN,Bodycam video shows tense moments as police entered the Las Vegas gunman's suite https://t.co/TikaNxRIUi https://t.co/H49ypjnxlj,Thu May 03 11:54:15 +0000 2018,-0.34,0.0,0.854,0.146,63
63,@CNN,"RT @NewDay: Former Trump aide Michael Caputo on a potential Trump interview with the special counsel: ""I think they should avoid it like th…",Thu May 03 11:51:15 +0000 2018,0.4588,0.19,0.73,0.08,64
64,@CNN,"5 things for Thursday:

- White House
- North Korea
- Abortion
- Pope Francis
- Starbucks arrest resolutions… https://t.co/lAbsX0r4Cl",Thu May 03 11:30:00 +0000 2018,-0.34,0.0,0.844,0.156,65
65,@CNN,"Trump’s tweets come the morning after his lawyer, Rudy Giuliani, told Fox News that Trump paid back Cohen the $130,… https://t.co/qb2HGy5qJm",Thu May 03 11:28:27 +0000 2018,0.0,0.0,1.0,0.0,66
66,@CNN,"President Trump says his personal attorney, Michael Cohen, was paid via a monthly retainer and that the hush agreem… https://t.co/VdnHfFkk0S",Thu May 03 11:25:55 +0000 2018,0.0,0.0,1.0,0.0,67
67,@CNN,5 lessons Trump's new lawyer could teach him from the Clinton impeachment | Analysis by @GregJKrieg… https://t.co/fJ1Tux7byU,Thu May 03 11:20:00 +0000 2018,0.0,0.0,1.0,0.0,68
68,@CNN,Video shows how close an Air Canada flight came to mistakenly landing on a crowded taxiway at San Francisco Interna… https://t.co/XifD6QpwZg,Thu May 03 11:10:00 +0000 2018,-0.296,0.0,0.896,0.104,69
69,@CNN,"US slams ""abusive"" North Korean regime after President Trump calls Kim Jong Un ""honorable"" https://t.co/aoodrGdJXP https://t.co/NGsWF96Yuy",Thu May 03 11:05:00 +0000 2018,0.0,0.0,1.0,0.0,70
70,@CNN,"Brain tumors are on the rise in England, raising cell phone concerns https://t.co/rYqju1hSW5 https://t.co/3QyFakBeqD",Thu May 03 10:57:38 +0000 2018,0.0,0.0,1.0,0.0,71
71,@CNN,"An airline charged her $36,000 to rush to her son's side after Parkland. 74 days later, they made it right… https://t.co/yqhfkdWHRi",Thu May 03 10:42:22 +0000 2018,-0.2023,0.0,0.917,0.083,72
72,@CNN,"Rudy Giuliani says President Trump paid back his personal lawyer, Michael Cohen, the $130,000 in hush money that wa… https://t.co/IzDTRxkCRc",Thu May 03 10:31:56 +0000 2018,0.0,0.0,1.0,0.0,73
73,@CNN,"RT @NewDay: When Rudy Giuliani said Trump repaid Michael Cohen for the Stormy Daniels hush money in an interview on Fox News, he and Sean H…",Thu May 03 10:29:24 +0000 2018,0.0,0.0,1.0,0.0,74
74,@CNN,Dozens of news organizations are joining forces to promote high-quality journalism on #WorldPressFreedomDay https://t.co/Ey7XHTJiHo,Thu May 03 10:12:05 +0000 2018,0.3818,0.167,0.833,0.0,75
75,@CNN,"Stephen Hawking's final research paper has been published, and it's mind-bending https://t.co/QeqKS1vg8O https://t.co/fQSNDiPgwS",Thu May 03 10:10:19 +0000 2018,0.0,0.0,1.0,0.0,76
76,@CNN,"How to protect ""America's best idea"": National Parks | @CNNOpinion https://t.co/f3oQwXpkGJ https://t.co/HDX10rsKOU",Thu May 03 10:03:39 +0000 2018,0.7783,0.43,0.57,0.0,77
77,@CNN,Can we live in a world without concrete? https://t.co/gXiJGhIDCm via @CNNStyle https://t.co/0QxFujK9M4,Thu May 03 09:56:02 +0000 2018,0.0,0.0,1.0,0.0,78
78,@CNN,Step inside the historic church where Harry and Meghan are getting married https://t.co/yV9D9VLRRG https://t.co/bQzxJc7ZDJ,Thu May 03 09:52:00 +0000 2018,0.0,0.0,1.0,0.0,79
79,@CNN,Here are 7 of Cambodia's best islands https://t.co/9gRCELb2GX via @CNNTravel https://t.co/dHN6581T7t,Thu May 03 09:42:04 +0000 2018,0.6369,0.318,0.682,0.0,80
80,@CNN,Up to 270 women may have died after UK breast cancer screening failures https://t.co/jxidXHKy3S https://t.co/KWB9TCTPuq,Thu May 03 09:35:26 +0000 2018,-0.9001,0.0,0.522,0.478,81
81,@CNN,Photographs from January show brown and green spots on the marble facade https://t.co/sLmoVcTCxY,Thu May 03 09:24:33 +0000 2018,0.0,0.0,1.0,0.0,82
82,@CNN,Hawaii is about to be the first state to ban certain sunscreen sales to protect its coral reefs… https://t.co/6aNox6aXxU,Thu May 03 09:08:07 +0000 2018,0.0258,0.193,0.658,0.148,83
83,@CNN,"""Xiaobo is gone and there's nothing in the world for me now."" 

The Chinese government refuses to let Liu Xia trave… https://t.co/ou9mCBUyIB",Thu May 03 08:33:05 +0000 2018,0.0,0.0,1.0,0.0,84
84,@CNN,This is what the first bird beak looked like https://t.co/VOszHHuLv9 https://t.co/blSN9coGnp,Thu May 03 08:19:47 +0000 2018,0.3612,0.2,0.8,0.0,85
85,@CNN,Protesters blocked roads in Armenia's capital. This little boy used his toy cars https://t.co/inQbyanHij https://t.co/lXa1Lzngl9,Thu May 03 07:53:37 +0000 2018,-0.4588,0.0,0.765,0.235,86
86,@CNN,"RT @CNNTonight: ""I think that this shows that the President has significant, potential criminal liability for felonies associated with camp…",Thu May 03 07:39:57 +0000 2018,-0.7845,0.068,0.604,0.328,87
87,@CNN,"Brain tumors on the rise in England, raising cell phone concerns https://t.co/rYqju1hSW5 https://t.co/KZk02g6CcD",Thu May 03 07:30:04 +0000 2018,0.0,0.0,1.0,0.0,88
88,@CNN,Stormy Daniels' attorney Michael Avenatti says Americans should be disgusted that President Trump lied for months a… https://t.co/RzDFvdo5IL,Thu May 03 07:28:17 +0000 2018,-0.7184,0.0,0.727,0.273,89
89,@CNN,Concrete is a disaster for our planet. Can the building industry break its addiction? https://t.co/yN31YfWuDB https://t.co/tk3vG64bLo,Thu May 03 07:15:08 +0000 2018,-0.6249,0.0,0.773,0.227,90
90,@CNN,"RT @CNNTonight: ""Mr. Trump will not serve out his term."" Stormy Daniels' lawyer responds to Rudy Giuliani's statement, where he said Presid…",Thu May 03 07:11:29 +0000 2018,0.0,0.0,1.0,0.0,91
91,@CNN,Police have released body camera footage from officers entering the Las Vegas shooter's hotel suite following Octob… https://t.co/A7QKCeG8To,Thu May 03 07:07:22 +0000 2018,0.0,0.0,1.0,0.0,92
92,@CNN,Former aide refutes Eric Greitens' claim on donor list in new report https://t.co/ybCyZ7Sc5a https://t.co/HLAJSX0Z72,Thu May 03 07:00:05 +0000 2018,0.0,0.0,1.0,0.0,93
93,@CNN,Chinese Foreign Minister Wang Yi praised North Korea's commitment to denuclearization during a rare visit to Pyongy… https://t.co/DvotJJd4ma,Thu May 03 06:55:04 +0000 2018,0.7003,0.279,0.721,0.0,94
94,@CNN,.@Bourdain is in #Uruguay and meat is on the menu. Carnivores unite! New episode of #PartsUnknown is coming at you… https://t.co/ImZakEhe2O,Thu May 03 06:45:21 +0000 2018,0.0,0.0,1.0,0.0,95
95,@CNN,"What Deputy Attorney General Rod Rosenstein said about the ""rule of law"" is right — but he shouldn't have had to sa… https://t.co/ULd6avcrh7",Thu May 03 06:30:12 +0000 2018,0.0,0.0,1.0,0.0,96
96,@CNN,"Facebook's new dating service may know us better than we do, writes Kara Alaimo for @CNNOpinion… https://t.co/ETaPGiHmAO",Thu May 03 06:15:06 +0000 2018,0.4404,0.153,0.847,0.0,97
97,@CNN,RT @cnnsport: Liverpool saw off a spirited Roma fightback to reach their first Champions League final since 2007 with a remarkable 7-6 aggr…,Thu May 03 06:13:46 +0000 2018,0.8555,0.38,0.62,0.0,98
98,@CNN,Amazon plays tough ahead of Seattle tax vote that could cost it $20 million https://t.co/jqw5MJWV1w https://t.co/RL7JF99hwN,Thu May 03 06:00:15 +0000 2018,0.296,0.203,0.714,0.082,99
99,@CNN,Facebook dating service will be test of user trust in platform https://t.co/sfOGs60pJ5 https://t.co/a9rtocDyTy,Thu May 03 05:45:02 +0000 2018,0.5106,0.216,0.784,0.0,100
100,@BBC,RT @BBCOne: YOU CHOOSE NUTS OVER BERRIES WHEN MARY BERRY HERSELF IS STANDING IN FRONT OF YOU?!!! ? #BBHC https://t.co/PmHT5ZNpja,Thu May 03 19:46:45 +0000 2018,-0.6006,0.0,0.822,0.178,1
101,@BBC,"Tonight, @bbclysedoucet tells the story of the Syrian war through extraordinary testimony from those who have lived… https://t.co/bICaYKRCmt",Thu May 03 19:03:04 +0000 2018,-0.5994,0.0,0.813,0.187,2
102,@BBC,"????? @ClaudiaWinkle hosts as Mary Berry, @DanDoherty_ and @Chris_Bavin put ten of the nation's best home cooks thr… https://t.co/fhPRqFbtEX",Thu May 03 18:34:03 +0000 2018,0.6369,0.189,0.811,0.0,3
103,@BBC,You're never too old to do something crazy... EVEN AT 81! https://t.co/CE5V6nws6n,Thu May 03 18:01:10 +0000 2018,0.0,0.0,1.0,0.0,4
104,@BBC,??@KewGardens is the largest remaining glasshouse from the Victorian era...but it's more than just a place to keep… https://t.co/CWGllHGJqo,Thu May 03 17:01:04 +0000 2018,0.0,0.0,1.0,0.0,5
105,@BBC,"? There’s no place like gnome for tonight’s @CbeebiesHQ #BedtimeStory with Sir @EltonOfficial! 
 https://t.co/K5V1BFGEdf",Thu May 03 16:01:06 +0000 2018,0.1511,0.175,0.688,0.138,6
106,@BBC,"RT @AboutTheBBC: High praise for ????? My Dad, the Peace Deal and Me @PatricKielty @BBCOne you have 2 days left to catch it @BBCiPlayer - h…",Thu May 03 15:12:08 +0000 2018,0.7964,0.244,0.756,0.0,7
107,@BBC,? The incredible story of how London dug the #VictoriaLine. https://t.co/V4emAUsrVP,Thu May 03 13:04:01 +0000 2018,0.0,0.0,1.0,0.0,8
108,@BBC,RT @BBCr4today: Kew Gardens is currently finding and researching species of plants that can help restore land when the climate changes. @Si…,Thu May 03 12:32:57 +0000 2018,0.5994,0.197,0.803,0.0,9
109,@BBC,RT @BBCTwo: Would you swipe right for Ed? ??? #LoveInTheCountryside @sarajcox https://t.co/LhmVJF463S,Thu May 03 12:31:50 +0000 2018,0.0,0.0,1.0,0.0,10
110,@BBC,"RT @bbcworldservice: Once condemned as witch doctors, traditional healers are now joining forces with medics in South Africa to help fight…",Thu May 03 12:07:40 +0000 2018,-0.4019,0.103,0.69,0.207,11
111,@BBC,RT @BBCNewsround: The UK's first heart transplant was carried out 50 years ago! ?? Find out more here ?https://t.co/L8P2Pzw5fa https://t.co…,Thu May 03 12:02:28 +0000 2018,0.0,0.0,1.0,0.0,12
112,@BBC,"RT @bbcideas: Meet the unsung heroine of early animation ?

More unsung heroines: https://t.co/B4DBsLSOU2 https://t.co/JW9myCTeZb",Thu May 03 12:02:20 +0000 2018,0.7769,0.361,0.639,0.0,13
113,@BBC,"RT @bbcpress: ? The sun's (sort-of) out and it's time for @BBCTwo to show off its #ComedyShorts! Four new specials from @SaraPascoe, @TimKe…",Thu May 03 12:02:13 +0000 2018,0.0,0.0,1.0,0.0,14
114,@BBC,"? This is adorable.

These children are so excited about the #RoyalWedding, they've created the love story of when… https://t.co/PPWMz5pBky",Thu May 03 12:00:18 +0000 2018,0.9103,0.455,0.545,0.0,15
115,@BBC,RT @bbccomedy: Tony Blur vs Oasis  #CunkonBritain https://t.co/s0XsciaUPz,Thu May 03 11:33:51 +0000 2018,0.0,0.0,1.0,0.0,16
116,@BBC,"'When you reclaim the word fat, it takes the power away.' https://t.co/Wquds5gXH1",Thu May 03 11:00:01 +0000 2018,0.0,0.0,1.0,0.0,17
117,@BBC,"RT @bbc5live: ""It's not all doom and gloom - it's about celebrating life""

Paul was told he had  incurable cancer in 2016 - this is his dia…",Thu May 03 10:49:34 +0000 2018,-0.4664,0.17,0.601,0.229,18
118,@BBC,"RT @BBCR1: Can't wait to see @LiamPayne at #BiggestWeekend in Swansea?

How about a Live Lounge next Thursday to tide you over...? ?

This…",Thu May 03 10:03:03 +0000 2018,0.0,0.0,1.0,0.0,19
119,@BBC,RT @BBCTwo: CONFIRMED: Donald Glover’s acclaimed comedy-drama #Atlanta starts Sunday 13 May on @BBCTwo. https://t.co/cqMJcvqMLC,Thu May 03 09:22:25 +0000 2018,0.0,0.0,1.0,0.0,20
120,@BBC,RT @bbceurovision: Making us proud. @surieofficial has recorded a sign language version of Storm. ?https://t.co/MfXKZEQSPJ https://t.co/Kdd…,Thu May 03 08:49:53 +0000 2018,0.4767,0.181,0.819,0.0,21
121,@BBC,RT @bbcworldservice: What's the best way to get rid of food waste? A former pharmaceutical company employee in China has come up with an in…,Thu May 03 08:47:48 +0000 2018,0.34,0.145,0.759,0.097,22
122,@BBC,? This 17-year-old Tanzanian schoolboy has been making house bricks from waste plastic. https://t.co/Mfe4FGUTgY,Thu May 03 08:00:14 +0000 2018,-0.4215,0.0,0.811,0.189,23
